ISO3;EXP;IMP;VOL;SOl
USA;903.014;1409;2312.014;-505.986
CHN;1262.245;759.396;2021.641;502.849
DEU;956.828;763.627;1720.455;193.201
JPN;550.867;493.239;1044.106;57.628
FRA;436.612;494.089;930.701;-57.477
ITA;354.314;387.132;741.446;-32.818
GBR;299.144;424.847;723.991;-125.703
CAN;281.031;293.933;574.964;-12.902
NLD;288.556;283.242;571.798;5.31399999999996
BEL;238.071;328.047;566.118;-89.976
KOR;279.046;276.775;555.821;2.27100000000002
ESP;198.58;266.304;464.884;-67.724
MEX;214.565;195.854;410.419;18.711
RUS;237.211;157.877;395.088;79.334
IND;139.821;244.198;384.019;-104.377
CHE;179.249;145.647;324.896;33.602
HKG;47.987;265.611;313.598;-217.624
AUS;162.359;141.599;303.958;20.76
OAS;139.123;137.931;277.054;1.19199999999998
BRA;161.552;114.791;276.343;46.761
THA;142.238;120.342;262.58;21.896
SGP;101.158;155.521;256.679;-54.363
POL;109.015;133.9;242.915;-24.885
MYS;133.323;103.019;236.342;30.304
AUT;108.905;120.233;229.138;-11.328
SAU;166.336;48.721;215.057;117.615
SWE;110.632;103.625;214.257;7.00700000000001
IDN;128.042;83.975;212.017;44.067
TUR;93.21;115.845;209.055;-22.635
IRL;135.951;51.078;187.029;84.873
CZE;90.028;94.001;184.029;-3.973
NOR;96.736;64.018;160.754;32.718
DNK;74.791;72.127;146.918;2.664
ZAF;74.901;54.675;129.576;20.226
HUN;66.237;58.903;125.14;7.334
ARE;89.204;29.97;119.174;59.234
VNM;59.325;58.19;117.515;1.13500000000001
FIN;55.965;51.747;107.712;4.218
PRT;37.955;67.629;105.584;-29.674
IRN;61.646;41.966;103.612;19.68
ARG;56.104;35.163;91.267;20.941
CHL;53.338;36.549;89.887;16.789
NGA;56.825;30.539;87.364;26.286
SVK;42.259;44.033;86.292;-1.774
GRC;17.84;65.915;83.755;-48.075
ROM;33.009;49.343;82.352;-16.334
UKR;40.436;41.439;81.875;-1.003
DZA;41.758;37.942;79.7;3.816
ISR;41.192;37.571;78.763;3.621
VEN;39.642;36.92;76.562;2.722
PHL;34.075;41.694;75.769;-7.619
EGY;21.979;41.201;63.18;-19.222
KAZ;34.296;26.871;61.167;7.425
QAT;44.009;16.979;60.988;27.03
COL;31.819;28.973;60.792;2.846
IRQ;39.35;19.758;59.108;19.592
AGO;39.816;16.12;55.936;23.696
KWT;40.63;14.468;55.098;26.162
NZL;24.828;22.653;47.481;2.175
LBY;35.958;10.438;46.396;25.52
MAR;14.152;29.919;44.071;-15.767
PAK;17.395;25.73;43.125;-8.335
PER;22.905;20.172;43.077;2.733
SVN;18.587;20.735;39.322;-2.148
OMN;22.083;16.436;38.519;5.647
BLR;12.58;25.685;38.265;-13.105
BGD;17.4;19.877;37.277;-2.477
BGR;13.146;21.129;34.275;-7.983
TUN;13.629;16.951;30.58;-3.322
LUX;14.635;14.874;29.509;-0.239000000000001
HRV;8.622;19.984;28.606;-11.362
ECU;15.24;12.764;28.004;2.476
LTU;9.801;17.414;27.215;-7.613
AZE;17.115;5.632;22.747;11.483
SYR;8.144;12.261;20.405;-4.117
CRI;13.741;6.406;20.147;7.335
SER;7.544;12.319;19.863;-4.775
PAN;5.703;12.623;18.326;-6.92
JOR;5.131;13.169;18.3;-8.038
SDN;8.885;7.884;16.769;1.001
GTM;7.552;9.077;16.629;-1.525
LKA;7.659;8.35;16.009;-0.691
DOM;5.747;10.23;15.977;-4.483
LBN;2.393;12.626;15.019;-10.233
EST;6.254;8.641;14.895;-2.387
GNQ;9.118;5.087;14.205;4.031
CIV;7.632;6.269;13.901;1.363
LVA;5.643;7.91;13.553;-2.267
TTO;6.454;6.6;13.054;-0.146
URY;6.487;6.338;12.825;0.149
COG;8.659;4.116;12.775;4.543
KEN;4.067;8.278;12.345;-4.211
UZB;4.724;7.433;12.157;-2.709
YEM;5.195;6.474;11.669;-1.279
MMR;6.008;5.498;11.506;0.51
LBR;1.441;9.611;11.052;-8.17
BHR;4.169;6.759;10.928;-2.59
BIH;3.225;7.667;10.892;-4.442
HND;5.413;4.681;10.094;0.732
SLV;3.648;6.263;9.911;-2.615
GHA;3.5;6.135;9.635;-2.635
PRY;3.52;5.755;9.275;-2.235
BRN;7.04;2.099;9.139;4.941
CYP;2.412;6.397;8.809;-3.985
NAM;2.907;5.695;8.602;-2.788
KHM;4.882;3.356;8.238;1.526
BOL;4.243;3.795;8.038;0.448
PNG;4.971;2.992;7.963;1.979
ALB;3.43;4.416;7.846;-0.986
ETH;1.571;6.161;7.732;-4.59
CMR;3.688;3.673;7.361;0.0150000000000001
ZMB;3.637;3.638;7.275;-0.00099999999999989
GAB;4.774;2.319;7.093;2.455
TZA;2.21;4.767;6.977;-2.557
ISL;3.622;3.325;6.947;0.297
MKD;2.55;3.891;6.441;-1.341
BWA;2.066;4.123;6.189;-2.057
CUB;1.67;4.489;6.159;-2.819
NIC;2.692;2.997;5.689;-0.305
ZAR;2.783;2.806;5.589;-0.0230000000000001
MAC;1.147;4.286;5.433;-3.139
SEN;1.408;3.993;5.401;-2.585
JAM;1.304;3.979;5.283;-2.675
MUS;2.043;3.24;5.283;-1.197
MOZ;2.254;2.832;5.086;-0.578
BHS;0.985;4.017;5.002;-3.032
MLT;1.64;3.298;4.938;-1.658
GEO;1.355;3.421;4.776;-2.066
UGA;1.167;3.322;4.489;-2.155
ZWE;1.186;3.09;4.276;-1.904
MDA;1.391;2.771;4.162;-1.38
PRK;1.474;2.632;4.106;-1.158
MDG;1.302;2.743;4.045;-1.441
NCL;1.851;2.031;3.882;-0.18
NPL;0.651;3.019;3.67;-2.368
MNG;1.678;1.924;3.602;-0.246
LAO;1.418;2.105;3.523;-0.687
ARM;0.597;2.786;3.383;-2.189
PSE;0.417;2.755;3.172;-2.338
TJK;0.872;2.26;3.132;-1.388
TCD;2.229;0.809;3.038;1.42
MRT;1.886;1.09;2.976;0.796
KGZ;0.714;2.105;2.819;-1.391
MWI;1.032;1.786;2.818;-0.754
AFG;1.234;1.564;2.798;-0.33
HTI;0.662;1.94;2.602;-1.278
GIN;1.111;1.437;2.548;-0.326
MNT;0.517;1.997;2.514;-1.48
SUR;1.341;1.131;2.472;0.21
BLZ;1.883;0.509;2.392;1.374
BEN;0.693;1.33;2.023;-0.637
TGO;1.031;0.933;1.964;0.0979999999999999
MLI;0.231;1.713;1.944;-1.482
BFA;0.491;1.424;1.915;-0.933
NER;0.492;1.38;1.872;-0.888
LSO;0.5;1.361;1.861;-0.861
GUY;0.935;0.852;1.787;0.0830000000000001
PYF;0.184;1.476;1.66;-1.292
FJI;0.625;1.033;1.658;-0.408
AND;0.099;1.458;1.557;-1.359
FRO;0.748;0.666;1.414;0.082
RWA;0.249;0.951;1.2;-0.702
BRB;0.133;1.054;1.187;-0.921
SWZ;0.867;0.293;1.16;0.574
ABW;0.1;1.015;1.115;-0.915
SOM;0.23;0.753;0.983;-0.523
GRL;0.382;0.588;0.97;-0.206
MDV;0.144;0.756;0.9;-0.612
DJI;0.275;0.608;0.883;-0.333
SLE;0.303;0.548;0.851;-0.245
CPV;0.082;0.575;0.657;-0.493
BTN;0.155;0.458;0.613;-0.303
MYT;0.118;0.453;0.571;-0.335
BDI;0.13;0.334;0.464;-0.204
TMP;0.107;0.326;0.433;-0.219
VUT;0.199;0.229;0.428;-0.03
ATG;0.035;0.377;0.412;-0.342
GRD;0.187;0.187;0.374;0
GMB;0.078;0.289;0.367;-0.211
CAF;0.12;0.214;0.334;-0.094
GNB;0.129;0.197;0.326;-0.068
ERI;0.039;0.271;0.31;-0.232
BMU;0.149;0.149;0.298;0
KNA;0.047;0.25;0.297;-0.203
VCT;0.033;0.221;0.254;-0.188
DMA;0.042;0.156;0.198;-0.114
WSM;0.045;0.148;0.193;-0.103
COM;0.036;0.139;0.175;-0.103
STP;0.029;0.094;0.123;-0.065
TON;0.014;0.107;0.121;-0.093
PLW;0.059;0.059;0.118;0
KIR;0.021;0.055;0.076;-0.034
TCA;0.002;0.07;0.072;-0.068
SLB;0.034;0.021;0.055;0.013
COK;0.003;0.035;0.038;-0.032
MSR;0.004;0.019;0.023;-0.015
ESH;0.002;0.001;0.003;0.001
