i;j;Fij;Fji;SUPi;POPi;GDPi;SUPj;POPj;GDPj;CONTij;LANGij;COLOij;DISTij;INTij;INTij_estim;INTij_resraw;INTij_resrel
CAN;USA;203319573.613;152951452.352;9984670;33890;1481680;9841930;322085;14334900;1;1;0;737.0425;356271025.965;474958052;-118687026;0.75
USA;CAN;152951452.352;203319573.613;9841930;322085;14334900;9984670;33890;1481680;1;1;0;737.0425;356271025.965;474958052;-118687026;0.75
FRA;GBR;29228735.839;23075520.225;661390;65325;2882740;258390;62218;2705610;0;0;0;342.9475;52304256.064;135445379;-83141123;0.39
GBR;FRA;23075520.225;29228735.839;258390;62218;2705610;661390;65325;2882740;0;0;0;342.9475;52304256.064;135445379;-83141123;0.39
ESP;USA;6395838.422;10724990.907;505370;45317;1549450;9841930;322085;14334900;0;1;0;6092.003;17120829.329;84637060;-67516231;0.2
USA;ESP;10724990.907;6395838.422;9841930;322085;14334900;505370;45317;1549450;0;1;0;6092.003;17120829.329;84637060;-67516231;0.2
GBR;USA;40392497.358;34353681.601;258390;62218;2705610;9841930;322085;14334900;0;1;0;5901.343;74746178.959;137012105;-62265926;0.55
USA;GBR;34353681.601;40392497.358;9841930;322085;14334900;258390;62218;2705610;0;1;0;5901.343;74746178.959;137012105;-62265926;0.55
FRA;USA;30523482.908;32169717.143;661390;65325;2882740;9841930;322085;14334900;0;0;0;6169.154;62693200.051;110411985;-47718785;0.57
USA;FRA;32169717.143;30523482.908;9841930;322085;14334900;661390;65325;2882740;0;0;0;6169.154;62693200.051;110411985;-47718785;0.57
ITA;USA;24837121.012;12376567.853;301340;60098;2261140;9841930;322085;14334900;0;0;0;7224.739;37213688.865;82675195;-45461506;0.45
USA;ITA;12376567.853;24837121.012;9841930;322085;14334900;301340;60098;2261140;0;0;0;7224.739;37213688.865;82675195;-45461506;0.45
RUS;USA;10201920.84;8478596.023;17098200;140367;1611770;9841930;322085;14334900;0;0;0;7834.547;18680516.863;59641783;-40961266;0.31
USA;RUS;8478596.023;10201920.84;9841930;322085;14334900;17098200;140367;1611770;0;0;0;7834.547;18680516.863;59641783;-40961266;0.31
DEU;FRA;85721976.075;64706953;357110;82057;3692610;661390;65325;2882740;1;0;0;880.187;150428929.075;189800754;-39371825;0.79
FRA;DEU;64706953;85721976.075;661390;65325;2882740;357110;82057;3692610;1;0;0;880.187;150428929.075;189800754;-39371825;0.79
CHE;FRA;13508390.92;13762489.923;41280;7595;467180;661390;65325;2882740;1;1;0;436.0778;27270880.843;63800630;-36529749;0.43
FRA;CHE;13762489.923;13508390.92;661390;65325;2882740;41280;7595;467180;1;1;0;436.0778;27270880.843;63800630;-36529749;0.43
FRA;ITA;34273127.773;40958502.488;661390;65325;2882740;301340;60098;2261140;1;0;0;1109.901;75231630.261;111024333;-35792703;0.68
ITA;FRA;40958502.488;34273127.773;301340;60098;2261140;661390;65325;2882740;1;0;0;1109.901;75231630.261;111024333;-35792703;0.68
DEU;DNK;16002695.126;11417734;357110;82057;3692610;454930;5589;349894;1;0;0;352.9857;27420429.126;54246344;-26825915;0.51
DNK;DEU;11417734;16002695.126;454930;5589;349894;357110;82057;3692610;1;0;0;352.9857;27420429.126;54246344;-26825915;0.51
BRA;USA;19255346.649;18897310.971;8514880;195423;1613510;9841930;322085;14334900;0;0;0;6794.436;38152657.62;64570953;-26418296;0.59
USA;BRA;18897310.971;19255346.649;9841930;322085;14334900;8514880;195423;1613510;0;0;0;6794.436;38152657.62;64570953;-26418296;0.59
POL;USA;1983931.903;3268218.041;312680;38038;516806;9841930;322085;14334900;0;0;0;7183.616;5252149.944;24264953;-19012803;0.22
USA;POL;3268218.041;1983931.903;9841930;322085;14334900;312680;38038;516806;0;0;0;7183.616;5252149.944;24264953;-19012803;0.22
GBR;ITA;12534080.847;18792478.076;258390;62218;2705610;301340;60098;2261140;0;0;0;1438.425;31326558.923;50203455;-18876896;0.62
ITA;GBR;18792478.076;12534080.847;301340;60098;2261140;258390;62218;2705610;0;0;0;1438.425;31326558.923;50203455;-18876896;0.62
GBR;RUS;3472252.822;5752396.454;258390;62218;2705610;17098200;140367;1611770;0;0;0;2510.88;9224649.276;27858245;-18633596;0.33
RUS;GBR;5752396.454;3472252.822;17098200;140367;1611770;258390;62218;2705610;0;0;0;2510.88;9224649.276;27858245;-18633596;0.33
GBR;JPN;5463556.069;10980002.645;258390;62218;2705610;377940;126995;5041900;0;0;0;9574.237;16443558.714;34434501;-17990942;0.48
JPN;GBR;10980002.645;5463556.069;377940;126995;5041900;258390;62218;2705610;0;0;0;9574.237;16443558.714;34434501;-17990942;0.48
ITA;JPN;6260190.893;5258437.268;301340;60098;2261140;377940;126995;5041900;0;0;0;9869.275;11518628.161;29162831;-17644202;0.39
JPN;ITA;5258437.268;6260190.893;377940;126995;5041900;301340;60098;2261140;0;0;0;9869.275;11518628.161;29162831;-17644202;0.39
ESP;FRA;33270947.037;32567092.923;505370;45317;1549450;661390;65325;2882740;1;0;0;1054.656;65838039.96;83358857;-17520817;0.79
FRA;ESP;32567092.923;33270947.037;661390;65325;2882740;505370;45317;1549450;1;0;0;1054.656;65838039.96;83358857;-17520817;0.79
FRA;JPN;8870574.975;9744277.055;661390;65325;2882740;377940;126995;5041900;0;0;0;9725.629;18614852.03;35989114;-17374262;0.52
JPN;FRA;9744277.055;8870574.975;377940;126995;5041900;661390;65325;2882740;0;0;0;9725.629;18614852.03;35989114;-17374262;0.52
TUR;USA;3701804.077;7744254.374;783560;75705;721976;9841930;322085;14334900;0;0;0;8732.645;11446058.451;28783403;-17337345;0.4
USA;TUR;7744254.374;3701804.077;9841930;322085;14334900;783560;75705;721976;0;0;0;8732.645;11446058.451;28783403;-17337345;0.4
FRA;RUS;6113812.315;7952968.896;661390;65325;2882740;17098200;140367;1611770;0;0;0;2494.316;14066781.211;29476165;-15409384;0.48
RUS;FRA;7952968.896;6113812.315;17098200;140367;1611770;661390;65325;2882740;0;0;0;2494.316;14066781.211;29476165;-15409384;0.48
NOR;USA;4212460.283;3883364.424;323780;4855;444279;9841930;322085;14334900;0;0;0;6239.55;8095824.707;23121774;-15025950;0.35
USA;NOR;3883364.424;4212460.283;9841930;322085;14334900;323780;4855;444279;0;0;0;6239.55;8095824.707;23121774;-15025950;0.35
CAN;FRA;3132772.611;4754220.12;9984670;33890;1481680;661390;65325;2882740;0;1;0;5653.213;7886992.731;22347520;-14460528;0.35
FRA;CAN;4754220.12;3132772.611;661390;65325;2882740;9984670;33890;1481680;0;1;0;5653.213;7886992.731;22347520;-14460528;0.35
IND;JPN;2775109.379;5872753.503;3287260;1214460;1206620;377940;126995;5041900;0;0;0;5847.71;8647862.882;23066817;-14418954;0.37
JPN;IND;5872753.503;2775109.379;377940;126995;5041900;3287260;1214460;1206620;0;0;0;5847.71;8647862.882;23066817;-14418954;0.37
ESP;JPN;2323749.586;4115980.692;505370;45317;1549450;377940;126995;5041900;0;0;0;10777.42;6439730.278;20280106;-13840376;0.32
JPN;ESP;4115980.692;2323749.586;377940;126995;5041900;505370;45317;1549450;0;0;0;10777.42;6439730.278;20280106;-13840376;0.32
IRN;USA;68535.424;278892.439;1745150;75078;335654;9841930;322085;14334900;0;0;0;10191.14;347427.863;13969727;-13622300;0.02
USA;IRN;278892.439;68535.424;9841930;322085;14334900;1745150;75078;335654;0;0;0;10191.14;347427.863;13969727;-13622300;0.02
SWE;USA;7399668.167;4107531.254;450300;9293;503341;9841930;322085;14334900;0;0;0;6644.253;11507199.421;24780822;-13273623;0.46
USA;SWE;4107531.254;7399668.167;9841930;322085;14334900;450300;9293;503341;0;0;0;6644.253;11507199.421;24780822;-13273623;0.46
GRC;USA;714835.397;1737763.704;131960;11183;335733;9841930;322085;14334900;0;0;0;8259.79;2452599.101;15688105;-13235505;0.16
USA;GRC;1737763.704;714835.397;9841930;322085;14334900;131960;11183;335733;0;0;0;8259.79;2452599.101;15688105;-13235505;0.16
ESP;GBR;13765329.13;12728547.644;505370;45317;1549450;258390;62218;2705610;0;0;0;1263.379;26493876.774;39364675;-12870798;0.67
GBR;ESP;12728547.644;13765329.13;258390;62218;2705610;505370;45317;1549450;0;0;0;1263.379;26493876.774;39364675;-12870798;0.67
PRT;USA;1288253.09;1099145.485;92090;10732;242920;9841930;322085;14334900;0;0;0;5740.448;2387398.575;14643663;-12256265;0.16
