Nomenclature;ReporterISO3;ProductCode;ReporterName;PartnerISO3;PartnerName;Year;TradeFlowName;TradeFlowCode;TradeValue in 1000 USD
NC;ABW; Total;Aruba;ARG;Argentina;2009;Export;6;.067
NC;ABW; Total;Aruba;ARG;Argentina;2009;Import;5;4036.951
NC;ABW; Total;Aruba;BEL;Belgium;2009;Export;6;301.335
NC;ABW; Total;Aruba;BEL;Belgium;2009;Import;5;1388.388
NC;ABW; Total;Aruba;BHS;Bahamas, The;2009;Import;5;3107.615
NC;ABW; Total;Aruba;BRA;Brazil;2009;Export;6;3.278
NC;ABW; Total;Aruba;BRA;Brazil;2009;Import;5;17073.968
NC;ABW; Total;Aruba;CAN;Canada;2009;Export;6;11.026
NC;ABW; Total;Aruba;CAN;Canada;2009;Import;5;5271.231
NC;ABW; Total;Aruba;CHE;Switzerland;2009;Export;6;84.653
NC;ABW; Total;Aruba;CHE;Switzerland;2009;Import;5;7574.609
NC;ABW; Total;Aruba;CHL;Chile;2009;Export;6;.018
NC;ABW; Total;Aruba;CHL;Chile;2009;Import;5;2124.871
NC;ABW; Total;Aruba;CHN;China;2009;Export;6;123.536
NC;ABW; Total;Aruba;CHN;China;2009;Import;5;15783.364
NC;ABW; Total;Aruba;COL;Colombia;2009;Export;6;23785.371
NC;ABW; Total;Aruba;COL;Colombia;2009;Import;5;41415.211
NC;ABW; Total;Aruba;CRI;Costa Rica;2009;Export;6;.005
NC;ABW; Total;Aruba;CRI;Costa Rica;2009;Import;5;5985.610
NC;ABW; Total;Aruba;DEU;Germany;2009;Export;6;6.534
NC;ABW; Total;Aruba;DEU;Germany;2009;Import;5;6851.164
NC;ABW; Total;Aruba;DNK;Denmark;2009;Export;6;37.462
NC;ABW; Total;Aruba;DNK;Denmark;2009;Import;5;1906.133
NC;ABW; Total;Aruba;ESP;Spain;2009;Export;6;34.500
NC;ABW; Total;Aruba;ESP;Spain;2009;Import;5;6054.506
NC;ABW; Total;Aruba;FIN;Finland;2009;Export;6;.004
NC;ABW; Total;Aruba;FIN;Finland;2009;Import;5;3057.201
NC;ABW; Total;Aruba;FRA;France;2009;Export;6;443.078
NC;ABW; Total;Aruba;FRA;France;2009;Import;5;7559.003
NC;ABW; Total;Aruba;GBR;United Kingdom;2009;Export;6;497.884
NC;ABW; Total;Aruba;GBR;United Kingdom;2009;Import;5;53929.522
NC;ABW; Total;Aruba;HKG;Hong Kong, China;2009;Export;6;44.002
NC;ABW; Total;Aruba;HKG;Hong Kong, China;2009;Import;5;5409.253
NC;ABW; Total;Aruba;HND;Honduras;2009;Export;6;.059
NC;ABW; Total;Aruba;HND;Honduras;2009;Import;5;2090.757
NC;ABW; Total;Aruba;IND;India;2009;Export;6;9.920
NC;ABW; Total;Aruba;IND;India;2009;Import;5;2390.101
NC;ABW; Total;Aruba;ITA;Italy;2009;Export;6;1.563
NC;ABW; Total;Aruba;ITA;Italy;2009;Import;5;25795.821
NC;ABW; Total;Aruba;JAM;Jamaica;2009;Export;6;9.537
NC;ABW; Total;Aruba;JAM;Jamaica;2009;Import;5;1965.794
NC;ABW; Total;Aruba;JPN;Japan;2009;Export;6;4.173
NC;ABW; Total;Aruba;JPN;Japan;2009;Import;5;16105.187
NC;ABW; Total;Aruba;KOR;Korea, Rep.;2009;Export;6;33.056
NC;ABW; Total;Aruba;KOR;Korea, Rep.;2009;Import;5;11213.932
NC;ABW; Total;Aruba;MEX;Mexico;2009;Export;6;649.659
NC;ABW; Total;Aruba;MEX;Mexico;2009;Import;5;7375.924
NC;ABW; Total;Aruba;NLD;Netherlands;2009;Export;6;6880.083
NC;ABW; Total;Aruba;NLD;Netherlands;2009;Import;5;168109.993
NC;ABW; Total;Aruba;PAN;Panama;2009;Export;6;32789.999
NC;ABW; Total;Aruba;PAN;Panama;2009;Import;5;34662.440
NC;ABW; Total;Aruba;PER;Peru;2009;Export;6;13.276
NC;ABW; Total;Aruba;PER;Peru;2009;Import;5;3007.797
NC;ABW; Total;Aruba;PRY;Paraguay;2009;Export;6;.002
NC;ABW; Total;Aruba;PRY;Paraguay;2009;Import;5;2916.461
NC;ABW; Total;Aruba;SUR;Suriname;2009;Export;6;1933.171
NC;ABW; Total;Aruba;SUR;Suriname;2009;Import;5;1266.007
NC;ABW; Total;Aruba;SWE;Sweden;2009;Export;6;.384
NC;ABW; Total;Aruba;SWE;Sweden;2009;Import;5;1907.384
NC;ABW; Total;Aruba;THA;Thailand;2009;Export;6;71.379
NC;ABW; Total;Aruba;THA;Thailand;2009;Import;5;1469.796
NC;ABW; Total;Aruba;TUR;Turkey;2009;Export;6;.101
NC;ABW; Total;Aruba;TUR;Turkey;2009;Import;5;339.836
NC;ABW; Total;Aruba;UNS;Unspecified;2009;Export;6;5986.164
NC;ABW; Total;Aruba;UNS;Unspecified;2009;Import;5;18611.307
NC;ABW; Total;Aruba;URY;Uruguay;2009;Export;6;.060
NC;ABW; Total;Aruba;URY;Uruguay;2009;Import;5;1974.719
NC;ABW; Total;Aruba;USA;United States;2009;Export;6;12102.517
NC;ABW; Total;Aruba;USA;United States;2009;Import;5;528633.996
NC;ABW; Total;Aruba;VEN;Venezuela;2009;Export;6;17399.931
NC;ABW; Total;Aruba;VEN;Venezuela;2009;Import;5;15284.839
NC;ABW; Total;Aruba;WLD; World;2009;Export;6;130279.575
NC;ABW; Total;Aruba;WLD; World;2009;Import;5;1068562.190
NC;AFG; Total;Afghanistan;ARE;United Arab Emirates;2009;Export;6;4162.342
NC;AFG; Total;Afghanistan;ARE;United Arab Emirates;2009;Import;5;19248.730
NC;AFG; Total;Afghanistan;AUS;Australia;2009;Export;6;8.349
NC;AFG; Total;Afghanistan;AUS;Australia;2009;Import;5;538.046
NC;AFG; Total;Afghanistan;AUT;Austria;2009;Import;5;20.516
NC;AFG; Total;Afghanistan;AZE;Azerbaijan;2009;Import;5;6070.401
NC;AFG; Total;Afghanistan;BEL;Belgium;2009;Import;5;1105.455
NC;AFG; Total;Afghanistan;BGD;Bangladesh;2009;Import;5;240.716
NC;AFG; Total;Afghanistan;BGR;Bulgaria;2009;Import;5;62.330
NC;AFG; Total;Afghanistan;BRA;Brazil;2009;Export;6;305.216
NC;AFG; Total;Afghanistan;BRA;Brazil;2009;Import;5;5792.694
NC;AFG; Total;Afghanistan;CAN;Canada;2009;Export;6;251.288
NC;AFG; Total;Afghanistan;CAN;Canada;2009;Import;5;214.117
NC;AFG; Total;Afghanistan;CHN;China;2009;Export;6;1095.870
NC;AFG; Total;Afghanistan;CHN;China;2009;Import;5;172378.814
NC;AFG; Total;Afghanistan;COL;Colombia;2009;Import;5;1154.471
NC;AFG; Total;Afghanistan;CUB;Cuba;2009;Import;5;339.150
NC;AFG; Total;Afghanistan;DEU;Germany;2009;Export;6;706.146
NC;AFG; Total;Afghanistan;DEU;Germany;2009;Import;5;16910.684
NC;AFG; Total;Afghanistan;DNK;Denmark;2009;Export;6;27.000
NC;AFG; Total;Afghanistan;DNK;Denmark;2009;Import;5;190.142
