iso;sup;pop;gdp;int
AFG;652230;29118;10644;1000000
AGO;1246700;18993;70461;607400
ALB;28750;3169;13135;1300000
ARE;83600;4707;228879;3777900
ARG;2780400;40666;319508;12244000
ARM;29740;3090;12133;208200
AUS;7741260;21512;995928;15756700
AUT;83870;8387;408930;6143620
AZE;86600;8934;40992;3688950
BDI;27830;8519;1165;65000
BEL;30530;10698;512836;8113240
BEN;112620;9212;6672;200000
BFA;274220;16287;7932;178200
BGD;144000;164425;86607;617300
BGR;111000;7497;49257;3395000
BHR;760;807;20979;649300
BHS;13880;346;7161;115761
BIH;51210;3760;19131;1421540
BLR;207600;9588;61149;4436820
BLZ;22970;313;1197;36000
BOL;1098580;10031;16139;1102500
BRA;8514880;195423;1613510;75943600
BRN;5770;407;14448;318882
BTN;38390;708;1231;50000
BWA;581730;1978;12841;120000
CAF;622980;4506;1961;22600
CAN;9984670;33890;1481680;26224900
CHE;41280;7595;467180;5480000
CHL;756090;17135;157560;5767100
CHN;9600000;1354150;4553270;384000000
CIV;322460;21571;22434;968000
CMR;475440;19958;23407;750000
COD;2344860;67828;10337;365000
COG;342000;3759;8728;245200
COK;268220;4326;109059;3600000
COL;1141750;46300;234312;20788800
COM;1860;691;530;24300
CRI;51100;4640;28935;1579000
CUB;109890;11204;61758;1605000
CYP;9250;880;23720;433847
CZE;78870;10411;206345;6680830
DEU;357110;82057;3692610;65123800
DJI;23200;879;1073;25900
DNK;454930;5589;349894;4824000
DOM;48670;10226;43684;2701280
DZA;2381740;35423;169689;4700000
ECU;256370;13775;53088;2052150
EGY;1001450;84474;164178;16635800
ERI;117600;5224;1368;250000
ESH;266000;530;855;11820
ESP;505370;45317;1549450;28117600
EST;45230;1339;22004;969725
ETH;1104300;84976;26662;445400
FIN;338420;5346;271883;4480950
FJI;18270;854;3537;114200
FRA;661390;65325;2882740;44830300
GAB;267670;1501;12684;98800
GBR;258390;62218;2705610;51540300
GEO;69700;4219;12642;1300000
GHA;238540;24333;28268;1297000
GIN;245860;10324;3321;95000
GMB;11300;1751;776;130100
GNB;36130;1647;833;37100
GNQ;28050;693;11471;14400
GRC;131960;11183;335733;4970720
GTM;108890;14377;38199;2280000
GUY;214970;761;2251;220000
HND;112490;7616;13546;731668
HRV;56590;4410;67520;2233700
HTI;27750;10188;6429;1000000
HUN;93030;9973;145447;6176410
IDN;1904570;232517;492094;20000000
IND;3287260;1214460;1206620;61300000
IRL;70280;4589;228382;3042640
IRN;1745150;75078;335654;27914700
IRQ;438320;31467;83307;325000
ISL;103000;329;13232;301577
ISR;22070;7285;198229;3700000
ITA;301340;60098;2261140;29235900
JAM;10990;2730;13559;1581100
JOR;88780;6472;23392;1741870
JPN;377940;126995;5041900;99143700
KAZ;2724900;15754;113926;5300000
KEN;580370;40863;30134;3995490
KGZ;199950;5550;4938;2194370
KHM;181040;15053;9831;78000
KOR;99720;48501;938356;39440000
KWT;17820;3051;158143;1100000
LAO;236800;6436;5198;300000
LBN;10450;4255;30517;1000000
LBR;111370;4102;673;20000
LBY;1759540;6546;93533;353900
LKA;65610;20410;39746;1776160
LSO;30360;2084;2131;76800
LTU;65300;3255;45665;1963950
LUX;2590;492;43531;424496
LVA;64550;2240;33338;1503440
MAR;446550;32381;87411;10300000
MDA;33850;3576;6653;1295000
MDG;587040;20146;9344;320000
MEX;1964380;110645;1079000;28439300
MKD;25710;2043;9719;1057360
MLI;1240190;13323;8425;250000
MLT;320;410;8082;240562
MMR;676590;50496;53000;110000
MNG;1564120;2701;5450;350000
MOZ;799380;23406;9263;612500
MRT;1030700;3366;3619;75000
MUS;2040;1297;9813;290000
MWI;118480;15692;4051;716400
